pelaaja_id,Pelaaja_Nimi,Pelaaja_Joukkue,Pelaaja_Pelipaikka,Pelaaja_Syntynyt,Pelaaja_Kansalaisuus,Pelaaja_Syntymäpaikka,Pelaaja_Ikä,Pelaaja_Pituus,Pelaaja_Paino,Pelaaja_Maila
60411600,"Sulak, Libor",Kärpät,Vasen puolustaja,4.3.1994,CZE,"Pelhrimov, CZE",27,189,86,L
60455469,"Ibragimov, Timur",TPS,Oikea laitahyökkääjä,12.10.2000,RUS,"St. Petersburg, RUS",20,185,91,L
22598901,"Mustonen, Aleksi",Kärpät,Keskushyökkääjä,28.3.1995,FIN,"Helsinki, FIN",26,175,75,L
31903545,"Petman, Mikko",Lukko,Oikea laitahyökkääjä,13.5.2001,FIN,"Lappeenranta, FIN",19,184,88,R
30793837,"Vilén, Elias",Pelicans,Keskushyökkääjä,1.1.2001,FIN,"Lahti, FIN",20,178,78,L
30687613,"Saarela, Antti",Ilves,Keskushyökkääjä,27.6.2001,FIN,"Laitila, FIN",19,180,85,L
34428467,"Helenius, Samuel",JYP,Keskushyökkääjä,26.11.2002,FIN,"Dallas, TX, USA",18,199,91,L
23470251,"Tommila, Juho",Sport,Oikea puolustaja,9.2.1993,FIN,"Lappi TL, FIN",28,184,86,R
30893766,"Viro, Eemil",TPS,Vasen puolustaja,3.4.2002,FIN,"Vantaa, FIN",19,183,78,L
24509817,"Jürgens, Casimir",Pelicans,Vasen puolustaja,26.12.1994,FIN,"Helsinki, FIN",26,182,82,L
40102012,"Puistola, Patrik",JYP,Oikea laitahyökkääjä,11.1.2001,FIN,"Tampere, FIN",20,183,80,L
23181087,"Salmio, Mikko",JYP,Vasen laitahyökkääjä,13.7.1991,FIN,"Jämsä, FIN",29,192,92,L
32058428,"Heinola, Ville",Lukko,Vasen puolustaja,2.3.2001,FIN,"Honkajoki, FIN",20,182,82,L
60466256,"Afanasjev, Kristian",Jukurit,Oikea laitahyökkääjä,28.7.1998,RUS,"Mexico City, MEX",22,191,87,R
23521841,"Tyrväinen, Antti",Pelicans,Vasen laitahyökkääjä,3.4.1989,FIN,"Seinäjoki, FIN",32,181,89,L
30356928,"Virtanen, Santeri",Ilves,Keskushyökkääjä,11.5.1999,FIN,"Kirkkonummi, FIN",21,188,93,L
22815419,"Partanen, Mika",Sport,Vasen laitahyökkääjä,18.10.1992,FIN,"Helsinki, FIN",28,188,95,L
22891255,"Piipponen, Samuli",Lukko,Vasen puolustaja,13.2.1993,FIN,"Helsinki, FIN",28,192,91,L
30707373,"Väänänen, Miro",HIFK,Keskushyökkääjä,15.11.1998,FIN,"Joensuu, FIN",22,181,89,L
60455241,"Spacek, Michael",Tappara,Keskushyökkääjä,9.4.1997,CZE,"Pardubice, CZE",24,180,85,R
21403877,"Elorinne, Aleksi",Ilves,Oikea puolustaja,3.2.1990,FIN,"Joensuu, FIN",31,196,99,L
60476693,"Merkley, Nick",Ässät,Oikea laitahyökkääjä,23.3.1997,CAN,"Calgary, AB, CAN",24,178,88,R
24177003,"Sevänen, Roni",Lukko,Vasen puolustaja,17.4.1995,FIN,"Eura, FIN",26,184,87,L
60476673,"Borgman, Andreas",Ässät,Oikea puolustaja,18.6.1995,SWE,"Stockholm, SWE",25,183,92,L
60455474,"Ivarsson, Johan",TPS,Vasen puolustaja,6.7.1995,SWE,"Höör, SWE",25,188,94,L
25454518,"Talaja, Roope",Sport,Oikea laitahyökkääjä,2.8.1988,FIN,"Kuopio, FIN",32,181,88,L
27833056,"Puljujärvi, Jesse",Kärpät,Oikea laitahyökkääjä,7.5.1998,FIN,"Älvkarleby, SWE",22,193,92,R
22510552,"Manninen, Oskari",KooKoo,Vasen puolustaja,22.4.1991,FIN,"Helsinki, FIN",30,179,84,L
24779032,"Lantta, Jaakko",SaiPa,Keskushyökkääjä,22.4.1996,FIN,"Valkeala, FIN",25,180,81,R
60462327,"Bergman, Julius",Pelicans,Oikea puolustaja,2.11.1995,SWE,"Stockholm, SWE",25,186,93,R
27355408,"Siikonen, Miska",JYP,Keskushyökkääjä,12.5.1996,FIN,"Tampere, FIN",24,190,92,L
23064609,"Riska, Erik",Sport,Oikea laitahyökkääjä,16.5.1989,FIN,"Pietarsaari, FIN",31,188,92,L
27852901,"Juhola, Jouka",Ässät,Vasen laitahyökkääjä,14.7.1997,FIN,"Harjavalta, FIN",23,184,93,L
23677889,"Wirtanen, Petteri",TPS,Keskushyökkääjä,28.5.1986,FIN,"Hyvinkää, FIN",34,187,92,L
23669075,"Virtanen, Jonne",Sport,Keskushyökkääjä,13.3.1988,FIN,"Turku, FIN",33,197,118,L
29995510,"Laaksonen, Oskari",Pelicans,Oikea puolustaja,2.7.1999,FIN,"Tampere, FIN",21,188,75,R
25630280,"Saarinen, Jesse",HIFK,Vasen laitahyökkääjä,29.7.1985,FIN,"Lahti, FIN",35,172,79,L
29936715,"Kotkansalo, Kasper",Ässät,Vasen puolustaja,16.11.1998,FIN,"Helsinki, FIN",22,188,90,L
100025878,"Motin, Johan",HIFK,Oikea puolustaja,10.10.1989,SWE,"Karlskoga, SWE",31,187,91,R
28822079,"Teräväinen, Eero",HIFK,Oikea puolustaja,8.3.1999,FIN,"Helsinki, FIN",22,181,78,L
24324348,"Gröndahl, Ari",Sport,Vasen puolustaja,11.8.1989,FIN,"Helsinki, FIN",31,195,98,R
30561454,"Killinen, Lenni",Ässät,Oikea laitahyökkääjä,15.6.2000,FIN,"Espoo, FIN",20,187,89,L
22497989,"Malinen, Jarkko",Tappara,Keskushyökkääjä,17.3.1988,FIN,"Kuopio, FIN",33,188,84,L
60455238,"Parlett, Blake",Tappara,Oikea puolustaja,13.5.1989,CAN,"Bracebridge, ON, CAN",31,185,93,R
23702275,"Vähätalo, Julius",Jukurit,Keskushyökkääjä,23.3.1995,FIN,"Vahto, FIN",26,196,87,L
24271404,"Appelgren, Niklas",Ässät,Keskushyökkääjä,24.6.1990,FIN,"Kouvola, FIN",30,188,93,L
60499452,"Morrow, Joe",Ässät,Oikea puolustaja,9.12.1992,CAN,"Edmonton, AB, CAN",28,185,94,L
24464062,"Ikonen, Jasse",Ässät,Keskushyökkääjä,13.6.1990,FIN,"Kuopio, FIN",30,184,86,L
29837610,"Väyrynen, Teemu",Ilves,Vasen laitahyökkääjä,28.4.1997,FIN,"Joensuu, FIN",24,175,78,L
23137280,"Saari, Micke",SaiPa,Keskushyökkääjä,19.4.1994,FIN,"Kirkkonummi, FIN",27,185,81,L
28577104,"Koivula, Otto",HIFK,Keskushyökkääjä,1.9.1998,FIN,"Nokia, FIN",22,193,100,L
29870486,"Haapanen, Topias",TPS,Vasen laitahyökkääjä,27.4.1998,FIN,"Pirkkala, FIN",23,185,86,L
60407804,"Bernhardt, David",HIFK,Vasen puolustaja,1.12.1997,SWE,"Huddinge, SWE",23,190,92,L
29864256,"Erholtz, Eemil",SaiPa,Vasen laitahyökkääjä,25.3.2000,FIN,"Mikkeli, FIN",21,181,80,R
27847136,"Toivola, Artturi",Pelicans,Keskushyökkääjä,23.5.1998,FIN,"Jyväskylä, FIN",22,181,77,L
23242492,"Seppälä, Mikael",KalPa,Vasen puolustaja,8.3.1994,FIN,"Ylivieska, FIN",27,188,95,L
60346724,"Galvas, Jakub",Jukurit,Oikea puolustaja,15.6.1999,CZE,"Ostrava, CZE",21,181,75,L
24459695,"Ikonen, Ossi",HPK,Vasen puolustaja,4.3.1990,FIN,"Toivakka, FIN",31,179,75,L
28905831,"Parikka, Jarkko",Ilves,Vasen puolustaja,6.9.1997,FIN,"Imatra, FIN",23,183,87,L
24153195,"Suuronen, Toni",KooKoo,Vasen laitahyökkääjä,30.6.1995,FIN,"Hamina, FIN",25,180,85,L
24485410,"Jalvanti, Joonas",Pelicans,Vasen puolustaja,9.9.1988,FIN,"Lahti, FIN",32,182,89,L
24174048,"Leskinen, Otto",KalPa,Oikea puolustaja,6.2.1997,FIN,"Pieksämäki, FIN",24,181,85,L
21804861,"Jokinen, Tommi",KalPa,Vasen laitahyökkääjä,17.9.1988,FIN,"Siilinjärvi, FIN",32,184,90,L
28696276,"Mattila, Jesper",KalPa,Vasen puolustaja,9.10.1997,FIN,"Tampere, FIN",23,180,80,L
24876676,"Monto, Joona",HPK,Keskushyökkääjä,22.6.1994,FIN,"Hyvinkää, FIN",26,185,87,L
24808136,"Lindsten, Jasper",Ässät,Oikea laitahyökkääjä,30.6.1994,FIN,"Salo, FIN",26,182,85,L
60455462,"Bohm, Oliver",TPS,Oikea puolustaja,14.4.1992,SWE,"Karlstad, SWE",29,191,98,L
24555418,"Keränen, Juho",HIFK,Oikea laitahyökkääjä,7.4.1985,FIN,"Keitele, FIN",36,176,86,R
25589140,"Sailio, Jari",Kärpät,Vasen laitahyökkääjä,18.3.1986,FIN,"Hyvinkää, FIN",35,179,84,L
24064653,"Mäkinen, Otto",Jukurit,Keskushyökkääjä,21.5.1998,FIN,"Tampere, FIN",22,188,81,L
31585390,"Kukkonen, Miska",Lukko,Oikea puolustaja,19.6.2000,FIN,"Jokioinen, FIN",20,186,92,R
40431875,"Gallet, Hugo",KalPa,Vasen puolustaja,20.6.1997,FRA,"Amiens, FRA",23,192,94,L
31128854,"Kokkonen, Mikko",Jukurit,Vasen puolustaja,18.1.2001,FIN,"Mikkeli, FIN",20,181,90,L
23837263,"Kuru, Hannu",TPS,Vasen laitahyökkääjä,12.5.1993,FIN,"Kaarina, FIN",27,181,82,L
28745305,"Luoto, Joona",HIFK,Vasen laitahyökkääjä,26.9.1997,FIN,"Lempäälä, FIN",23,190,87,L
23097498,"Ruokonen, Miro",HPK,Vasen laitahyökkääjä,27.3.1996,FIN,"Forssa, FIN",25,182,87,L
31927592,"Valkeejärvi, Samuel",JYP,Vasen laitahyökkääjä,11.5.2001,FIN,"Jyväskylä, FIN",19,182,77,L
32108624,"Rajaniemi, Matias",Pelicans,Vasen puolustaja,11.9.2002,FIN,"Lahti, FIN",18,191,92,L
40371281,"Blood, Ben",Tappara,Vasen puolustaja,15.3.1989,USA,"Plymouth, MA, USA",32,193,103,L
60497670,"Aleksandrov, Nikita",KooKoo,Vasen laitahyökkääjä,16.9.2000,RUS,"Burgwedel, GER",20,180,84,L
31250968,"Kakkonen, Valtteri",JYP,Oikea puolustaja,17.3.2000,FIN,"Jyväskylä, FIN",21,182,80,R
28842826,"Vainio, Veeti",Pelicans,Vasen puolustaja,16.6.1997,FIN,"Espoo, FIN",23,189,84,R
24174051,"Leskinen, Ville",Jukurit,Vasen laitahyökkääjä,29.7.1995,FIN,"Pieksämäki, FIN",25,181,77,L
